dataset,greedy,ga,ga_greedy
I1,-0.7096774193548387,-0.7407407407407407,-0.7407407407407407
I2,-0.6349206349206349,-0.7083333333333334,-0.704225352112676
I3,-0.8055555555555556,-0.8064516129032258,-0.8064516129032258
I4,-0.5833333333333334,-0.6585365853658537,-0.6585365853658537
I5,-0.7666666666666667,-0.782608695652174,-0.7727272727272727
I6,-0.7115384615384616,-0.7647058823529411,-0.7647058823529411
I7,-0.7222222222222222,-0.7222222222222222,-0.7241379310344828
I8,-0.6666666666666666,-0.8,-0.8
I9,-0.5862068965517241,-0.5984848484848485,-0.5984848484848485
I10,-0.6744186046511628,-0.6744186046511628,-0.6744186046511628
I11,-0.7142857142857143,-0.6388888888888888,-0.7142857142857143
I12,-0.7777777777777778,-0.7692307692307693,-0.7777777777777778
I13,-0.6666666666666666,-0.6401673640167364,-0.6666666666666666
I14,-0.6190476190476191,-0.6018518518518519,-0.6190476190476191
I15,-0.640625,-0.628099173553719,-0.640625
I16,-0.7727272727272727,-0.65,-0.7727272727272727
I17,-0.72,-0.75,-0.72
I18,-0.8,-0.7142857142857143,-0.8
I19,-0.8333333333333334,-0.8333333333333334,-0.8333333333333334
I20,-1,-1.0,-1.0
I21,-0.6458333333333334,-0.6458333333333334,-0.6458333333333334
I22,-0.6530612244897959,-0.611353711790393,-0.7
I23,-0.75,-0.6538461538461539,-0.75
I24,-1,-1.0,-1.0
I25,-0.6593406593406593,-0.6363636363636364,-0.7619047619047619
I26,-0.76,-0.65625,-0.76
I27,-0.7368421052631579,-0.6617647058823529,-0.7368421052631579
I28,-0.6470588235294118,-0.6470588235294118,-0.6470588235294118
I29,-0.6470588235294118,-0.6842105263157895,-0.6470588235294118
I30,-0.7241379310344828,-0.7241379310344828,-0.7241379310344828
I31,-1,-1.0,-1.0
I32,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666
I33,-0.8571428571428572,-0.8571428571428572,-0.8571428571428572
I34,-0.6486486486486487,-0.6050420168067226,-0.6486486486486487
I35,-0.6363636363636364,-0.6363636363636364,-0.6363636363636364
I36,-0.8095238095238095,-0.8095238095238095,-0.8333333333333334
I37,-0.7142857142857143,-0.6290322580645161,-0.7142857142857143
I38,-1,-1.0,-1.0
I39,-0.6744186046511628,-0.647887323943662,-0.6744186046511628
I40,-0.6335877862595419,-0.6335877862595419,-0.6335877862595419
I41,-0.6875,-0.6875,-0.6875
I42,-1,-1.0,-1.0
I43,-0.6333333333333333,-0.6333333333333333,-0.6585365853658537
I44,-0.7,-0.6206896551724138,-0.7
I45,-0.6666666666666666,-0.6013071895424836,-0.6666666666666667
I46,-0.7407407407407407,-0.7407407407407407,-0.8235294117647058
I47,-0.6428571428571428,-1.0,-0.8
I48,-0.6190476190476191,-0.5614035087719298,-0.6190476190476191
I49,-0.8,-0.6666666666666666,-0.8
I50,-1,-1.0,-1.0
I51,-0.6623376623376623,-0.6481481481481481,-0.6623376623376623
I52,-1,-1.0,-1.0
I53,-0.6491228070175439,-0.6491228070175439,-0.6818181818181818
I54,-0.6739130434782609,-0.65,-0.6739130434782609
I55,-1,-1.0,-1.0
I56,-0.6153846153846154,-0.6451612903225806,-0.6153846153846154
I57,-0.7777777777777778,-0.7333333333333333,-0.7777777777777778
I58,-0.6129032258064516,-0.610738255033557,-0.6129032258064516
I59,-0.8461538461538461,-0.6214285714285714,-0.8461538461538461
I60,-0.6395348837209303,-0.6176470588235294,-0.6395348837209303